"","OTU","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"16S_31","16S_31",2364,1439,2010,904,718,1045,659,3748,908,1398,1497,1631,1426,896,846,479,2269,1165,578,140,277,311,322,373,959,300,1057,615,545,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_34","16S_34",145,350,1591,668,150,783,58,273,648,81,347,531,433,600,1035,3156,656,1340,2329,857,1831,3254,2053,917,1136,781,449,1039,965,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_35","16S_35",153,431,1729,647,172,789,54,272,565,76,375,493,424,544,999,3048,545,1349,2266,854,1724,3086,1894,849,1045,791,448,978,856,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_37","16S_37",149,433,1907,717,144,824,60,217,576,70,326,454,415,506,943,2788,543,1161,1948,725,1634,2655,1738,768,914,648,398,915,831,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_38","16S_38",165,518,1971,745,186,885,62,280,500,68,333,439,419,505,938,2674,532,1191,1996,737,1682,2688,1664,779,877,673,417,842,865,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_40","16S_40",1900,1019,1492,690,551,794,542,2934,804,1124,1137,1256,1119,738,700,347,1828,954,484,120,210,262,243,280,787,218,883,515,445,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_41","16S_41",1508,906,1275,570,478,686,537,3201,797,1208,1249,1285,1187,742,708,420,2009,974,467,101,215,287,263,313,873,245,875,545,450,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_42","16S_42",2012,1117,1599,713,608,903,456,2759,736,1016,1065,1114,1055,628,691,388,1649,864,476,102,180,248,229,250,717,222,779,496,396,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_43","16S_43",1435,814,1225,488,463,646,549,3156,759,1079,1186,1228,1057,717,689,400,1840,936,460,118,202,264,245,299,907,240,808,509,433,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_44","16S_44",1686,1020,1423,617,529,724,461,2712,707,1113,1039,1174,1069,659,650,374,1712,852,424,79,204,238,234,297,743,224,801,492,465,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_45","16S_45",1558,971,1279,574,472,698,422,2890,673,1109,1128,1139,1029,686,667,372,1777,913,433,98,193,252,259,253,755,219,759,499,442,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_46","16S_46",666,587,0,148,0,1955,33,3074,145,0,818,54,963,126,1352,1293,1192,341,151,2129,2372,565,155,341,306,1599,722,638,65,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_47","16S_47",1793,1052,1359,623,553,759,468,2535,615,920,930,1023,927,614,614,339,1483,791,417,85,180,241,233,242,678,198,694,443,359,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_48","16S_48",122,351,1278,510,114,605,46,205,431,65,280,387,322,433,767,2284,475,948,1698,603,1419,2371,1406,700,845,524,349,751,765,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_49","16S_49",798,659,0,192,0,2046,0,2833,123,0,702,23,868,104,1270,1246,1133,306,146,2025,2208,533,120,322,306,1464,671,608,77,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_50","16S_50",1389,946,1136,484,448,651,426,2491,584,934,1031,1064,962,585,579,345,1573,834,436,108,180,238,224,213,683,174,678,464,425,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_51","16S_51",115,301,1162,532,97,549,43,218,446,46,263,358,334,425,771,2226,449,971,1601,623,1294,2139,1356,667,806,550,342,733,690,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_52","16S_52",523,582,394,1699,2104,693,550,663,522,636,166,912,1291,2535,470,576,162,1671,391,96,32,285,214,203,273,440,694,998,467,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_53","16S_53",115,329,1278,520,119,566,53,215,427,69,268,370,312,399,750,2135,446,997,1601,607,1340,2159,1329,614,805,555,291,689,686,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_54","16S_54",678,629,0,166,0,1800,0,2792,119,0,703,29,862,113,1216,1263,1020,288,160,1979,2207,536,113,327,293,1440,638,603,65,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_57","16S_57",823,662,0,153,0,2052,0,2569,128,103,697,21,844,101,1172,1199,1000,279,154,1820,2096,488,130,324,288,1347,612,582,64,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_58","16S_58",594,579,367,1797,2309,655,420,587,455,580,165,833,1179,2349,501,554,149,1482,355,103,35,235,211,204,219,420,631,932,460,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_59","16S_59",131,397,1614,590,146,725,39,179,375,47,218,332,322,395,664,1814,386,844,1380,537,1262,2015,1124,577,619,483,302,606,652,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Neptunomonas",NA
"16S_60","16S_60",139,366,1503,606,142,666,43,194,388,49,225,322,301,365,703,1883,381,850,1439,551,1220,1942,1239,544,648,489,283,603,608,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_63","16S_63",106,303,1174,480,114,506,50,187,383,61,219,349,285,394,711,1930,373,945,1518,514,1191,2060,1247,635,707,515,292,615,608,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_64","16S_64",636,585,435,1848,2301,705,445,532,462,567,158,748,1060,2082,399,510,118,1448,340,76,23,202,185,208,218,435,547,828,383,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_66","16S_66",581,645,415,1804,2379,706,365,485,447,602,159,747,1075,1959,425,501,107,1278,318,85,32,244,172,179,207,379,563,812,386,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_68","16S_68",108,325,1347,539,118,627,43,158,364,32,209,290,263,369,663,1860,409,773,1319,505,1169,1830,1156,501,693,411,270,632,598,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_69","16S_69",121,380,1420,559,145,636,33,206,325,46,219,301,264,345,654,1723,332,780,1304,496,1142,1831,1072,500,624,461,259,556,597,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae",NA,NA
"16S_72","16S_72",488,429,60,106,0,1398,0,2195,99,0,570,0,716,80,890,924,854,270,120,1457,1644,441,108,268,243,1195,585,460,52,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_73","16S_73",440,426,302,1310,1676,537,369,528,370,492,127,749,987,1789,377,468,114,1285,341,69,31,186,149,172,179,356,487,744,379,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_75","16S_75",230,926,116,535,559,121,599,65,37,467,299,1501,497,556,575,487,81,1168,834,159,577,419,375,658,345,456,1478,672,382,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_76","16S_76",681,562,0,145,0,1780,0,1962,89,0,523,16,636,78,874,857,794,229,114,1407,1578,406,89,222,187,976,464,398,77,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_77","16S_77",573,537,0,149,0,1585,0,1995,95,0,540,24,675,76,919,884,759,207,103,1497,1529,375,89,275,190,1056,487,470,49,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_78","16S_78",462,427,0,97,0,1361,0,2099,87,0,545,0,662,91,957,936,849,245,130,1502,1496,407,99,247,246,1101,501,464,44,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_79","16S_79",501,491,384,1561,2026,571,361,390,370,436,135,566,841,1652,341,382,110,1088,249,47,32,181,146,147,195,300,480,643,336,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_81","16S_81",568,560,358,1528,2018,601,358,389,310,382,111,546,797,1542,333,365,94,975,268,53,33,160,121,126,145,277,414,649,335,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_82","16S_82",428,428,315,1277,1642,470,333,458,379,444,138,600,893,1652,355,398,94,1160,298,75,38,186,159,156,196,327,486,687,342,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_83","16S_83",378,402,305,1232,1588,471,363,416,379,443,110,621,887,1737,357,442,102,1100,295,92,20,201,151,165,201,328,501,679,373,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_84","16S_84",238,926,128,573,509,125,556,65,39,441,302,1373,465,532,527,491,67,1145,775,187,515,343,344,549,341,395,1345,598,355,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_85","16S_85",557,453,0,124,32,1521,0,1869,88,0,484,0,607,81,836,880,707,207,126,1379,1442,368,96,265,171,1021,439,390,41,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_86","16S_86",507,478,0,118,0,1355,0,1921,96,0,492,0,618,87,881,892,704,208,128,1307,1490,378,82,218,188,1026,431,447,58,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_88","16S_88",280,516,383,1665,882,360,379,608,1036,780,109,1253,353,1097,131,72,416,215,234,60,21,175,1438,87,667,224,122,107,178,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_89","16S_89",470,444,321,1354,1858,538,290,391,306,455,125,595,767,1466,315,347,79,978,249,57,18,163,140,153,178,286,462,591,308,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_90","16S_90",374,580,455,2068,998,397,353,537,932,734,118,1172,316,905,117,54,359,169,203,71,25,170,1253,58,520,186,131,134,147,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_92","16S_92",327,561,423,1907,933,396,336,496,1011,734,105,1236,288,1025,93,48,345,159,179,71,20,175,1406,85,589,180,135,117,162,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_93","16S_93",26,84,1225,728,457,287,218,0,617,19,35,5323,30,0,0,0,939,0,39,0,0,25,1737,104,1418,0,46,56,34,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_94","16S_94",318,468,335,1760,871,351,347,578,965,776,123,1294,316,994,92,73,374,183,196,76,29,147,1380,76,649,223,113,121,153,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_95","16S_95",266,958,145,550,613,122,516,44,36,404,301,1280,416,500,505,415,78,970,698,160,449,293,350,499,284,332,1236,615,318,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_96","16S_96",553,508,0,123,0,1536,0,1759,93,0,454,0,568,67,758,824,623,184,107,1228,1409,316,86,224,153,877,442,346,46,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_97","16S_97",474,505,313,1437,1896,553,302,372,299,363,105,499,727,1371,297,369,79,872,234,76,20,146,124,140,151,260,395,558,279,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA
"16S_98","16S_98",402,372,287,1157,1560,476,316,434,327,404,110,581,770,1613,331,357,83,985,244,65,22,185,128,165,162,295,436,618,323,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_99","16S_99",450,418,0,135,0,1310,0,1784,68,0,453,0,566,70,834,739,676,180,109,1305,1459,360,83,222,182,954,407,378,40,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_100","16S_100",277,1053,124,613,612,121,466,47,54,345,245,1140,390,492,485,425,87,982,694,147,428,271,324,483,258,355,1209,564,319,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_102","16S_102",26,85,1186,730,432,299,226,0,601,26,31,4859,33,0,0,0,863,0,27,0,0,23,1607,107,1160,0,54,43,30,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_104","16S_104",34,78,1346,773,459,364,193,0,563,5,31,4695,29,0,0,0,813,0,24,0,0,0,1551,94,1207,19,49,59,29,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_105","16S_105",51,91,1419,869,481,351,198,0,548,13,29,4558,30,0,0,0,746,0,27,0,0,0,1506,88,1092,21,30,37,30,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_106","16S_106",172,635,96,409,439,78,452,53,39,344,234,1081,344,419,457,415,59,903,691,135,402,269,281,438,256,302,1136,603,318,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_107","16S_107",0,0,168,18,0,44,0,337,0,0,0,87,191,39,66,97,0,96,79,38,617,783,3885,777,826,448,167,2532,61,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_109","16S_109",169,604,92,414,407,103,441,45,36,302,263,1070,304,412,404,366,68,867,616,139,398,246,280,451,233,310,1091,526,280,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_110","16S_110",187,771,99,454,408,107,416,43,38,315,212,950,283,396,448,343,61,874,589,115,380,260,293,412,219,274,1042,453,284,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_112","16S_112",0,0,208,32,0,46,0,269,0,0,0,97,189,37,70,115,78,61,57,35,571,695,3598,675,769,447,177,2329,75,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_113","16S_113",180,806,102,487,465,98,392,44,41,301,202,1009,305,387,395,369,57,750,598,120,351,242,242,391,235,252,981,437,257,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_114","16S_114",212,391,256,1296,640,288,308,452,778,628,74,975,243,763,97,43,317,146,141,54,33,112,1135,73,484,155,96,109,132,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_116","16S_116",266,463,366,1652,818,337,271,392,664,529,79,845,237,714,83,36,270,134,156,41,37,121,972,44,403,138,80,101,104,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_117","16S_117",0,0,165,28,0,33,0,300,0,0,0,108,198,30,64,102,0,71,76,47,604,711,3404,651,741,428,162,2310,60,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_119","16S_119",272,427,349,1534,738,271,263,448,669,546,86,902,220,717,91,37,247,118,173,47,25,133,936,41,431,163,90,107,112,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_120","16S_120",247,847,119,477,494,102,376,40,32,267,181,908,294,361,388,338,59,791,522,115,386,214,232,342,219,242,874,440,257,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_121","16S_121",229,405,290,1370,612,263,290,447,724,551,109,911,255,744,71,58,289,140,162,54,32,122,1033,44,485,153,106,81,108,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_122","16S_122",165,766,95,447,478,107,353,36,36,289,195,892,282,391,373,341,63,771,521,125,338,236,234,388,211,272,896,399,231,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_123","16S_123",20,61,948,519,318,246,141,0,481,0,31,3851,28,0,0,0,699,0,0,0,0,30,1259,80,1087,0,46,50,31,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA
"16S_125","16S_125",0,0,186,35,0,45,0,293,0,0,0,84,217,27,62,107,0,89,70,41,512,679,3134,639,700,405,150,2218,77,"Bacteria","Patescibacteria","Gracilibacteria","JGI 0000069-P22",NA,NA,NA
"16S_126","16S_126",225,341,249,1171,613,252,281,440,798,535,84,955,233,725,82,36,271,123,135,43,15,142,1043,58,446,157,89,89,111,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"16S_127","16S_127",172,648,76,404,398,90,385,43,37,279,199,933,279,407,352,326,52,740,509,111,348,235,233,369,207,266,898,470,252,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","RS62 marine group",NA
"16S_128","16S_128",237,376,302,1462,705,294,250,368,693,499,65,834,225,682,75,53,222,123,133,45,15,117,922,58,407,132,75,64,105,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
